Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-05-12 08:00:00+00:00,207.84,207.97,207.12,207.19,0
2025-05-12 08:01:00+00:00,208.22,208.25,207.84,207.84,0
2025-05-12 08:02:00+00:00,208.19,208.27,208.04,208.22,0
2025-05-12 08:03:00+00:00,208.05,208.2,208.05,208.19,0
2025-05-12 08:04:00+00:00,207.8,208.05,207.79,208.05,0
2025-05-12 08:05:00+00:00,207.62,207.84,207.55,207.82,0
2025-05-12 08:06:00+00:00,207.5,207.76,207.35,207.62,0
2025-05-12 08:07:00+00:00,207.3,207.52,207.3,207.5,0
2025-05-12 08:08:00+00:00,207.44,207.45,207.15,207.31,0
2025-05-12 08:09:00+00:00,207.5,207.5,207.4,207.47,0
2025-05-12 08:10:00+00:00,207.61,207.7,207.47,207.5,0
2025-05-12 08:11:00+00:00,207.59,207.65,207.55,207.59,0
2025-05-12 08:12:00+00:00,207.65,207.69,207.57,207.6,0
2025-05-12 08:13:00+00:00,207.71,207.75,207.65,207.65,0
2025-05-12 08:14:00+00:00,207.67,207.84,207.64,207.72,0
2025-05-12 08:15:00+00:00,207.77,207.85,207.69,207.71,0
2025-05-12 08:16:00+00:00,207.86,207.87,207.77,207.77,0
2025-05-12 08:17:00+00:00,208.06,208.17,207.84,207.84,0
2025-05-12 08:18:00+00:00,208.03,208.17,207.86,208.1,0
2025-05-12 08:19:00+00:00,208.17,208.2,208.06,208.06,0
2025-05-12 08:20:00+00:00,208.17,208.2,208.1,208.18,0
2025-05-12 08:21:00+00:00,208.25,208.27,208.1,208.16,0
2025-05-12 08:22:00+00:00,208.12,208.25,208.1,208.25,0
2025-05-12 08:23:00+00:00,208.15,208.16,208.08,208.14,0
2025-05-12 08:24:00+00:00,208.14,208.2,208.01,208.16,0
2025-05-12 08:25:00+00:00,208.14,208.2,208.07,208.16,0
2025-05-12 08:26:00+00:00,208.0,208.14,207.95,208.13,0
2025-05-12 08:27:00+00:00,207.98,208.08,207.92,207.99,0
2025-05-12 08:28:00+00:00,208.02,208.12,208.01,208.01,0
2025-05-12 08:29:00+00:00,208.06,208.1,208.02,208.02,0
2025-05-12 08:30:00+00:00,208.18,208.2,208.05,208.06,0
2025-05-12 08:31:00+00:00,208.17,208.25,208.15,208.22,0
2025-05-12 08:32:00+00:00,208.18,208.2,207.95,208.18,0
2025-05-12 08:33:00+00:00,208.09,208.18,208.09,208.18,0
2025-05-12 08:34:00+00:00,208.09,208.15,208.08,208.11,0
2025-05-12 08:35:00+00:00,208.17,208.17,208.1,208.1,0
2025-05-12 08:36:00+00:00,208.34,208.34,208.13,208.15,0
2025-05-12 08:37:00+00:00,208.31,208.39,208.29,208.29,0
2025-05-12 08:38:00+00:00,208.24,208.39,208.24,208.31,0
2025-05-12 08:39:00+00:00,208.31,208.31,208.28,208.29,0
2025-05-12 08:40:00+00:00,208.36,208.37,208.3,208.33,0
2025-05-12 08:41:00+00:00,208.7,208.77,208.38,208.38,0
2025-05-12 08:42:00+00:00,208.9,208.91,208.7,208.72,0
2025-05-12 08:43:00+00:00,208.98,208.99,208.91,208.91,0
2025-05-12 08:44:00+00:00,209.1,209.1,208.98,208.98,0
2025-05-12 08:45:00+00:00,209.3,209.3,209.05,209.05,0
2025-05-12 08:46:00+00:00,209.17,209.3,209.15,209.3,0
2025-05-12 08:47:00+00:00,209.56,209.61,209.12,209.15,0
2025-05-12 08:48:00+00:00,209.83,209.85,209.51,209.56,0
2025-05-12 08:49:00+00:00,209.88,209.9,209.69,209.81,0
