Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-05-16 08:00:00+00:00,211.77,211.87,211.69,211.71,0
2025-05-16 08:01:00+00:00,211.8,211.93,211.8,211.93,0
2025-05-16 08:02:00+00:00,211.88,211.88,211.76,211.8,0
2025-05-16 08:03:00+00:00,211.88,211.88,211.76,211.79,0
2025-05-16 08:04:00+00:00,211.86,211.93,211.86,211.88,0
2025-05-16 08:05:00+00:00,211.95,211.95,211.84,211.84,0
2025-05-16 08:06:00+00:00,211.9,211.9,211.9,211.9,0
2025-05-16 08:07:00+00:00,211.93,211.93,211.93,211.93,0
2025-05-16 08:08:00+00:00,211.94,211.96,211.93,211.93,0
2025-05-16 08:09:00+00:00,211.96,211.97,211.96,211.96,0
2025-05-16 08:10:00+00:00,211.91,211.93,211.91,211.93,0
2025-05-16 08:11:00+00:00,211.95,211.98,211.95,211.98,0
2025-05-16 08:13:00+00:00,211.98,211.98,211.96,211.98,0
2025-05-16 08:14:00+00:00,211.99,211.99,211.99,211.99,0
2025-05-16 08:15:00+00:00,211.88,211.96,211.88,211.96,0
2025-05-16 08:16:00+00:00,211.79,211.89,211.79,211.86,0
2025-05-16 08:17:00+00:00,211.74,211.81,211.74,211.81,0
2025-05-16 08:18:00+00:00,211.74,211.76,211.74,211.74,0
2025-05-16 08:20:00+00:00,211.85,211.85,211.84,211.84,0
2025-05-16 08:21:00+00:00,211.75,211.85,211.75,211.85,0
2025-05-16 08:25:00+00:00,211.77,211.77,211.75,211.75,0
2025-05-16 08:26:00+00:00,211.77,211.79,211.77,211.79,0
2025-05-16 08:27:00+00:00,211.75,211.76,211.75,211.76,0
2025-05-16 08:28:00+00:00,211.79,211.79,211.74,211.75,0
2025-05-16 08:31:00+00:00,211.79,211.79,211.79,211.79,0
2025-05-16 08:32:00+00:00,211.8,211.83,211.8,211.83,0
2025-05-16 08:34:00+00:00,211.86,211.86,211.86,211.86,0
2025-05-16 08:35:00+00:00,212.0,212.05,211.9,211.9,0
2025-05-16 08:36:00+00:00,212.03,212.05,212.01,212.01,0
2025-05-16 08:37:00+00:00,212.01,212.02,212.01,212.02,0
2025-05-16 08:39:00+00:00,211.91,211.97,211.91,211.97,0
2025-05-16 08:40:00+00:00,212.0,212.0,211.97,211.97,0
2025-05-16 08:41:00+00:00,211.96,211.96,211.96,211.96,0
2025-05-16 08:42:00+00:00,211.86,211.86,211.86,211.86,0
2025-05-16 08:43:00+00:00,211.93,211.93,211.93,211.93,0
2025-05-16 08:44:00+00:00,211.9,211.94,211.9,211.94,0
2025-05-16 08:48:00+00:00,211.95,211.95,211.9,211.93,0
2025-05-16 08:50:00+00:00,211.95,211.96,211.92,211.96,0
2025-05-16 08:51:00+00:00,211.92,211.95,211.92,211.95,0
2025-05-16 08:52:00+00:00,212.03,212.03,211.99,211.99,0
2025-05-16 08:53:00+00:00,212.06,212.06,212.03,212.03,0
2025-05-16 08:54:00+00:00,211.97,212.0,211.97,212.0,0
2025-05-16 08:55:00+00:00,211.98,211.98,211.89,211.92,0
2025-05-16 08:56:00+00:00,211.9,211.99,211.9,211.99,0
2025-05-16 08:57:00+00:00,211.92,211.92,211.92,211.92,0
2025-05-16 08:58:00+00:00,211.99,211.99,211.99,211.99,0
2025-05-16 08:59:00+00:00,211.99,211.99,211.99,211.99,0
2025-05-16 09:00:00+00:00,212.01,212.01,211.99,211.99,0
2025-05-16 09:01:00+00:00,212.0,212.0,211.99,212.0,0
2025-05-16 09:02:00+00:00,211.92,211.96,211.9,211.96,0
